"ダウンロードした時刻：2023/11/10 22:50:25"
""
"","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京"
"2023/10/9","15.4","8","1","16.9","8","1","13.8","8","1","0.0","0","8","1","40.0","0","8","1","17.4","8","1","1016.8","8","1","10.0","8","1"
"2023/10/10","20.2","8","1","26.6","8","1","16.6","8","1","4.6","0","8","1","13.0","0","8","1","19.1","8","1","1006.6","8","1","9.3","8","1"
"2023/10/11","19.8","8","1","24.3","8","1","15.7","8","1","6.4","0","8","1","0","1","8","1","13.5","8","1","1016.0","8","1","8.0","8","1"
"2023/10/12","19.4","8","1","24.1","8","1","15.7","8","1","9.1","0","8","1","0.0","0","8","1","13.6","8","1","1018.5","8","1","5.8","8","1"
"2023/10/13","18.5","8","1","23.4","8","1","14.6","8","1","10.6","0","8","1","0","1","8","1","11.4","8","1","1013.7","8","1","4.5","8","1"
"2023/10/14","18.2","8","1","23.4","8","1","12.7","8","1","6.4","0","8","1","0.0","0","8","1","13.5","8","1","1008.7","8","1","7.0","8","1"
"2023/10/15","14.9","8","1","16.9","8","1","14.0","8","1","0.2","0","8","1","43.5","0","8","1","16.8","8","1","1002.1","8","1","7.5","8","1"
"2023/10/16","19.0","8","1","25.8","8","1","12.1","8","1","10.2","0","8","1","0","1","8","1","15.4","8","1","1005.8","8","1","0.3","8","1"
"2023/10/17","19.5","8","1","25.2","8","1","15.2","8","1","10.3","0","8","1","0","1","8","1","12.4","8","1","1011.4","8","1","0.5","8","1"
"2023/10/18","18.9","8","1","24.4","8","1","13.7","8","1","6.9","0","8","1","0","1","8","1","14.4","8","1","1017.7","8","1","4.0","8","1"
"2023/10/19","20.3","8","1","25.4","8","1","14.8","8","1","9.3","0","8","1","0","1","8","1","16.4","8","1","1014.1","8","1","7.5","8","1"
"2023/10/20","21.8","8","1","27.1","8","1","16.2","8","1","8.4","0","8","1","0","1","8","1","17.0","8","1","1003.8","8","1","3.8","8","1"
"2023/10/21","19.0","8","1","22.5","8","1","14.3","8","1","6.8","0","8","1","0.0","0","8","1","10.5","8","1","1005.8","8","1","7.8","8","1"
"2023/10/22","15.9","8","1","20.2","8","1","11.5","8","1","9.9","0","8","1","0","1","8","1","9.2","8","1","1017.6","8","1","2.5","8","1"
"2023/10/23","16.7","8","1","23.0","8","1","11.4","8","1","9.2","0","8","1","0","1","8","1","11.2","8","1","1019.2","8","1","4.5","8","1"
"2023/10/24","17.7","8","1","24.0","8","1","12.9","8","1","8.7","0","8","1","0","1","8","1","14.1","8","1","1017.6","8","1","1.5","8","1"
"2023/10/25","17.7","8","1","22.2","8","1","11.4","8","1","4.4","0","8","1","30.5","0","8","1","14.8","8","1","1012.5","8","1","9.8","8","1"
"2023/10/26","16.9","8","1","23.4","8","1","11.5","8","1","9.8","0","8","1","0","1","8","1","12.8","8","1","1010.1","8","1","1.5","8","1"
"2023/10/27","17.8","8","1","23.4","8","1","13.4","8","1","8.4","0","8","1","0","1","8","1","13.9","8","1","1007.3","8","1","3.5","8","1"
"2023/10/28","17.5","8","1","21.4","8","1","14.3","8","1","7.2","0","8","1","0","1","8","1","14.1","8","1","1006.9","8","1","7.3","8","1"
"2023/10/29","16.3","8","1","20.8","8","1","12.5","8","1","4.1","0","8","1","5.0","0","8","1","11.5","8","1","1011.0","8","1","5.8","8","1"
"2023/10/30","16.9","8","1","22.3","8","1","11.6","8","1","9.6","0","8","1","0","1","8","1","11.9","8","1","1017.5","8","1","0.8","8","1"
"2023/10/31","17.2","8","1","20.9","8","1","13.5","8","1","1.1","0","8","1","0.0","0","8","1","14.1","8","1","1019.7","8","1","7.0","8","1"
